NRIC,PLATE,mod 7,mod 8,,,,,,,,,
9324808,231368,3,0,,,,,,,,,
8467144,8560135,0,0,,,,,,,,,
7899716,5844258,6,4,,,,,,,,,
3181860,3922382,3,4,,,,,,,,,
4918568,4364135,4,0,,,,,,,,,
6551084,6161411,1,4,,,,,,,,,
1669536,5064922,1,0,,,,,,,,,
7653292,7641915,3,4,,,,,,,,,
5805252,3295046,5,4,,,,,,,,,
1585732,7520895,1,4,,,,,,,,,
9387184,7407618,2,0,,,,,,,,,
1002720,7202846,5,0,,,,,,,,,
5866832,4798434,6,0,,,,,,,,,
1849360,5578075,2,0,,,,,,,,,
5748152,3199924,4,0,,,,,,,,,
3729908,2632116,0,4,,,,,,,,,
274280,6245899,6,0,,,,,,,,,
8278100,8951731,5,4,,,,,,,,,
3660020,9155534,0,4,,,,,,,,,
1400448,4385684,0,0,,,,,,,,,
2691200,7056190,1,0,,,,,,,,,
6323956,6116431,2,4,,,,,,,,,
2519232,7145771,2,0,,,,,,,,,
9762064,7862911,4,0,,,,,,,,,
7573720,6241196,0,0,,,,,,,,,
2416016,7844085,1,0,,,,,,,,,
9985424,7931245,1,0,,,,,,,,,
3920476,1259761,0,4,,,,,,,,,
6463292,9216505,3,4,,,,,,,,,
8491580,2231640,6,4,,,,,,,,,
6686012,581566,4,4,,,,,,,,,
8180484,8512975,4,4,,,,,,,,,
7765024,6859730,1,0,,,,,,,,,
3498692,2405636,1,4,,,,,,,,,
9731668,7817311,2,4,,,,,,,,,
8742228,9060100,5,4,,,,,,,,,
1660876,4423755,0,4,,,,,,,,,
7643756,2812144,1,4,,,,,,,,,
5283880,6773344,0,0,,,,,,,,,
1327468,6222600,2,4,,,,,,,,,
6991784,8394914,2,0,,,,,,,,,
3204592,6189111,6,0,,,,,,,,,
4812056,2297516,4,0,,,,,,,,,
8207604,2182613,6,4,,,,,,,,,
6710568,8174195,4,0,,,,,,,,,
8859928,695281,0,0,,,,,,,,,
281184,4702451,1,0,,,,,,,,,
2680668,8339873,4,4,,,,,,,,,
2351420,9288357,1,4,,,,,,,,,
6302432,4095385,3,0,,,,,,,,,
3756256,8569071,0,0,,,,,,,,,
9009312,92236,4,0,,,,,,,,,
827180,3417989,4,4,,,,,,,,,
3987356,5279176,2,4,,,,,,,,,
8936236,5094369,1,4,,,,,,,,,
9936800,4860992,6,0,,,,,,,,,
7099284,5913373,3,4,,,,,,,,,
4702120,4132237,3,0,,,,,,,,,
9480852,9677987,3,4,,,,,,,,,
2974456,6488401,2,0,,,,,,,,,
307744,8082692,3,0,,,,,,,,,
2556376,6603831,4,0,,,,,,,,,
3853412,4484089,3,4,,,,,,,,,
8019408,5636312,5,0,,,,,,,,,
326472,3072142,6,0,,,,,,,,,
2753032,4886566,2,0,,,,,,,,,
1755768,9611483,0,0,,,,,,,,,
6232144,8876200,2,0,,,,,,,,,
8771352,4807086,2,0,,,,,,,,,
8436588,4205229,6,4,,,,,,,,,
1650600,5837151,0,0,,,,,,,,,
290140,6680241,4,4,,,,,,,,,
874860,329463,0,4,,,,,,,,,
9392784,4809677,2,0,,,,,,,,,
8909412,6529321,1,4,,,,,,,,,
2652020,3030774,0,4,,,,,,,,,
3928056,906732,6,0,,,,,,,,,
8262616,5177709,5,0,,,,,,,,,
6774676,3395383,6,4,,,,,,,,,
9185820,3648554,0,4,,,,,,,,,
9794984,7676251,3,0,,,,,,,,,
3006820,5482355,5,4,,,,,,,,,
1635792,5060707,4,0,,,,,,,,,
5774100,1532765,3,4,,,,,,,,,
3005768,7294041,3,0,,,,,,,,,
1677124,2824854,1,4,,,,,,,,,
235744,2320810,5,0,,,,,,,,,
9135916,8861225,6,4,,,,,,,,,
801648,6729366,1,0,,,,,,,,,
9369196,9844192,4,4,,,,,,,,,
9125944,7139502,2,0,,,,,,,,,
5802352,3006544,3,0,,,,,,,,,
2779588,8457909,0,4,,,,,,,,,
406236,4677873,5,4,,,,,,,,,
1277512,8023367,5,0,,,,,,,,,
8408924,4047984,6,4,,,,,,,,,
5264808,8740158,3,0,,,,,,,,,
4283276,1320319,4,4,,,,,,,,,
4788680,4524786,1,0,,,,,,,,,
6800140,100641,4,4,,,,,,,,,
9637036,6452140,3,4,,,,,,,,,
7605032,6149100,1,0,,,,,,,,,
2325320,5434739,4,0,,,,,,,,,
2488580,7413013,3,4,,,,,,,,,
5142400,7353498,4,0,,,,,,,,,
4504092,4167249,5,4,,,,,,,,,
4682896,2629741,1,0,,,,,,,,,
8513948,7292929,2,4,,,,,,,,,
7167896,4291415,1,0,,,,,,,,,
9508872,8049163,2,0,,,,,,,,,
7654452,9470077,1,4,,,,,,,,,
8349652,5860512,3,4,,,,,,,,,
2164400,4024486,0,0,,,,,,,,,
9970032,9905870,2,0,,,,,,,,,
9284144,996885,2,0,,,,,,,,,
8148564,4722128,4,4,,,,,,,,,
3959564,6904061,0,4,,,,,,,,,
3955448,8295790,0,0,,,,,,,,,
67080,8584651,6,0,,,,,,,,,
49080,3184065,3,0,,,,,,,,,
9999340,5792181,1,4,,,,,,,,,
125016,1508069,3,0,,,,,,,,,
1482640,1671901,5,0,,,,,,,,,
8522976,185082,0,0,,,,,,,,,
426884,1368382,3,4,,,,,,,,,
4254888,538829,1,0,,,,,,,,,
4699724,5498081,1,4,,,,,,,,,
671692,1504451,0,4,,,,,,,,,
2552816,6282629,0,0,,,,,,,,,
6343740,3075842,4,4,,,,,,,,,
8763580,1286463,0,4,,,,,,,,,
9583024,1768233,3,0,,,,,,,,,
4910520,7864471,6,0,,,,,,,,,
181556,6698321,4,4,,,,,,,,,
2469844,196290,6,4,,,,,,,,,
5598948,9549461,5,4,,,,,,,,,
8752560,7140847,5,0,,,,,,,,,
479512,3016232,5,0,,,,,,,,,
1850064,9352177,6,0,,,,,,,,,
705060,1317715,6,4,,,,,,,,,
2278460,2870157,2,4,,,,,,,,,
6415780,7529403,0,4,,,,,,,,,
8151256,5757699,1,0,,,,,,,,,
8157976,5852171,1,0,,,,,,,,,
5554064,9623636,5,0,,,,,,,,,
197740,8289542,4,4,,,,,,,,,
2923316,4024665,4,4,,,,,,,,,
7220780,3785833,0,4,,,,,,,,,
6011188,9067890,1,4,,,,,,,,,
6820760,9300478,2,0,,,,,,,,,
5636040,3733778,4,0,,,,,,,,,
4423724,9802522,4,4,,,,,,,,,
1361364,4481228,4,4,,,,,,,,,
1866696,6624780,6,0,,,,,,,,,
6492508,7403920,1,4,,,,,,,,,
4782620,8797466,3,4,,,,,,,,,
3501476,9213952,6,4,,,,,,,,,
1439020,2175557,2,4,,,,,,,,,
1393476,4159762,0,4,,,,,,,,,
5482604,3052935,1,4,,,,,,,,,
1543228,4000851,1,4,,,,,,,,,
7587744,6405742,3,0,,,,,,,,,
1607660,9553501,5,4,,,,,,,,,
6474832,4923651,0,0,,,,,,,,,
3865848,4446091,0,0,,,,,,,,,
5412364,6168317,6,4,,,,,,,,,
9958172,727483,0,4,,,,,,,,,
7274176,4777271,0,0,,,,,,,,,
5235140,3277760,1,4,,,,,,,,,
8693160,3175232,0,0,,,,,,,,,
7344592,2778572,3,0,,,,,,,,,
4797996,7191189,0,4,,,,,,,,,
763848,6292277,1,0,,,,,,,,,
63680,7443509,1,0,,,,,,,,,
7424636,3443079,2,4,,,,,,,,,
3576584,2101773,4,0,,,,,,,,,
725800,7241389,5,0,,,,,,,,,
2343892,86225,5,4,,,,,,,,,
