NRIC,PLATE,MOD8,MOD7,,,,table slot,mod 7,mod 8,,,,
28665,123456,1,0,,,,0,1449,1242,,,,
42225,123457,1,1,,,,1,1413,1237,,,,
79638,123458,6,6,,,,2,1413,1226,,,,
19139,123459,3,1,,,,3,1430,1296,,,,
29343,123460,7,6,,,,4,1469,1274,,,,
27799,123461,7,2,,,,5,1374,1270,,Row Labels,Sum of mod 8,Sum of mod 7
47338,123462,2,4,,,,6,1452,1238,,0,1242,1449
36022,123463,6,0,,,,7,,1217,,1,1237,1413
32573,123464,5,2,,,,,,,,2,1226,1413
13001,123465,1,2,,,,total,9996,9998,,3,1296,1430
23635,123466,3,3,,,,,,,,4,1274,1469
81688,123467,0,5,,,,,,,,5,1270,1374
22180,123468,4,4,,,,,,,,6,1238,1452
34189,123469,5,1,,,,,,,,7,1217,
91977,123470,1,4,,,,,,,,Grand Total,10000,10000
13630,123471,6,1,,,,table slot,mod 7,mod 8,,,,
63253,123472,5,1,,,,0,1407,4966,,,,
37348,123473,4,3,,,,1,1466,0,,,,
69210,123474,2,1,,,,2,1454,0,,,,
95236,123475,4,1,,,,3,1410,0,,,,
73922,123476,2,2,,,,4,1413,5033,,,,
95133,123477,5,3,,,,5,1409,0,,,,
97930,123478,2,0,,,,6,1440,0,,,,
30722,123479,2,6,,,,7,0,0,,,,
71005,123480,5,4,,,,,,,,,,
96909,123481,5,1,,,,total,9996,9998,,,,
22192,123482,0,2,,,,,,,,,,
46902,123483,6,2,,,,,,,,,,
40454,123484,6,1,,,,,,,,,,
19771,123485,3,3,,,,,,,,,,
60327,123486,7,1,,,,,,,,,,
30030,123487,6,0,,,,,,,,,,
53980,123488,4,3,,,,,,,,,,
60409,123489,1,6,,,,,,,,,,
95764,123490,4,4,,,,,,,,,,
51059,123491,3,1,,,,,,,,,,
22663,123492,7,4,,,,,,,,,,
90587,123493,3,0,,,,,,,,,,
24340,123494,4,1,,,,,,,,,,
36717,123495,5,2,,,,,,,,,,
59171,123496,3,0,,,,,,,,,,
69387,123497,3,3,,,,,,,,,,
90540,123498,4,2,,,,,,,,,,
49623,123499,7,0,,,,,,,,,,
15303,123500,7,1,,,,,,,,,,
53964,123501,4,1,,,,,,,,,,
46281,123502,1,4,,,,,,,,,,
78601,123503,1,5,,,,,,,,,,
94124,123504,4,2,,,,,,,,,,
76226,123505,2,3,,,,,,,,,,
73862,123506,6,5,,,,,,,,,,
11592,123507,0,0,,,,,,,,,,
61547,123508,3,3,,,,,,,,,,
18785,123509,1,4,,,,,,,,,,
91597,123510,5,2,,,,,,,,,,
96331,123511,3,4,,,,,,,,,,
21501,123512,5,4,,,,,,,,,,
78734,123513,6,5,,,,,,,,,,
39234,123514,2,6,,,,,,,,,,
79889,123515,1,5,,,,,,,,,,
99164,123516,4,2,,,,,,,,,,
58682,123517,2,1,,,,,,,,,,
75266,123518,2,2,,,,,,,,,,
64095,123519,7,3,,,,,,,,,,
89002,123520,2,4,,,,,,,,,,
85161,123521,1,6,,,,,,,,,,
54292,123522,4,0,,,,,,,,,,
57474,123523,2,4,,,,,,,,,,
54831,123524,7,0,,,,,,,,,,
65626,123525,2,1,,,,,,,,,,
43479,123526,7,2,,,,,,,,,,
78869,123527,5,0,,,,,,,,,,
21783,123528,7,6,,,,,,,,,,
77356,123529,4,6,,,,,,,,,,
96302,123530,6,3,,,,,,,,,,
70077,123531,5,0,,,,,,,,,,
57494,123532,6,3,,,,,,,,,,
15478,123533,6,1,,,,,,,,,,
30598,123534,6,1,,,,,,,,,,
78768,123535,0,4,,,,,,,,,,
60451,123536,3,6,,,,,,,,,,
61459,123537,3,6,,,,,,,,,,
69456,123538,0,2,,,,,,,,,,
36797,123539,5,5,,,,,,,,,,
